company_name,ticker,listing_date,subscription_category
Vibhor Steel Tubes Ltd,VIBHOR.NS,,high
Mamata Machinery Ltd,MAMATA.NS,,high
Unicommerce E-Solutions Ltd,UNICOMM.NS,,high
Bajaj Housing Finance Ltd,BAJAJHF.NS,,high
Jyoti CNC Automation,JYOTICNC.NS,,high
Nova Agritech,NOVAAGRI.NS,,high
Medi Assist Healthcare,MEDIASSIST.NS,,high
BLS E-Services,BLSE.NS,,high
Rashi Peripherals,RASHI.NS,,high
TBO Tek,TBOTEK.NS,,high
Park Hotels,PARKHOTEL.NS,,high
Allied Blenders & Distillers,ALLIEDBLEND.NS,,high
Awfis Space Solutions,AWFIS.NS,,high
Stanley Lifestyles,STANLEY.NS,,high
Emcure Pharmaceuticals,EMCURE.NS,,high
Ixigo,IXIGO.NS,,high
TG Thermoformers,TGTHERMO.NS,,high
Akme Fintrade (AFPL),AKMEFIN.NS,,high
Sai Silks (Kalamandir),SAISILK.NS,,high
Kaynes Technology India Ltd,KAYNES.NS,,high
Carraro India,CARRARO.NS,,low
Capital Small Finance Bank,CAPSFB.NS,,low
ACME Solar Holdings,ACMESOLAR.NS,,low
Aadhar Housing Finance,AADHARHF.NS,,low
Suraj Estate Developers,SURAJESTATE.NS,,low
Motisons Jewellers,MOTISONS.NS,,low
Inox India,INOXINDIA.NS,,low
Angel Microfinance,ANGELMICRO.NS,,low
Kannur International Airport,KANNURAIR.NS,,low
Infollion Research,INFOLLION.NS,,low
Yatra Online,YATRA.NS,,low
Aeroflex Industries,AEROFLEX.NS,,low
Balaji Solutions,BALAJI.NS,,low
Shree Marutinandan Tubes,MARUTITUBE.NS,,low
Senco Gold,SENCO.NS,,low
GPT Healthcare,GPTHEALTH.NS,,low
Apeejay Surrendra Park Hotels,PARKAPJ.NS,,low
Cello World,CELLO.NS,,low
Samhi Hotels,SAMHI.NS,,low
Udayshivakumar Infra,UDAYINFRA.NS,,low
