company_name,ticker,listing_date,listing_first_date,day1_return,car_30,vol_30,subscription_cat
Mamata Machinery,MAMATA.NS,2024-12-27,2024-12-27,,-0.33340430413280353,0.06264024202847081,High
Unimech Aerospace,UNIMECH.NS,2024-12-31,2024-12-31,0.049373261523614875,-0.048356961553625455,0.034314914824892545,High
Mobikwik Systems,MOBIKWIK.NS,2024-12-18,2024-12-18,0.02594699281634716,-0.0290262119136252,0.06582373315385136,High
Senores Pharmaceuticals,SENORES.NS,2024-12-30,2024-12-30,0.02073420347557997,-0.036153503331465164,0.048853728356994114,High
Transrail Lighting,TRANSRAILL.NS,2024-12-27,2024-12-27,,0.006526042168643276,0.050415761633091555,High
Waaree Energies,WAAREEENER.NS,2024-10-28,2024-10-28,0.017657878320330278,0.15180604810545906,0.06630510393593858,High
Tata Technologies,TATATECH.NS,2023-11-30,2023-11-30,-0.07037315082107443,-0.17913505494233173,0.021016460070018495,High
Azad Engineering,AZAD.NS,2024-01-19,2024-01-19,,0.5230073406177219,0.059887705491584405,High
Protean eGov Technologies,PROTEAN.BO,2024-02-14,2024-02-14,-0.018368975009248056,-0.269323518115025,0.01887088497718942,High
Motisons Jewellers,MOTISONS.NS,2024-12-20,2024-12-20,,-0.05572524391050859,0.02882286790899594,High
Jyoti CNC Automation,JYOTICNC.NS,2024-01-12,2024-01-16,-0.01531557859766175,0.4122381032538073,0.06181985372373079,High
DOMS Industries,DOMS.NS,2023-12-20,2023-12-20,0.015874190222943785,0.06417279057197911,0.031174316003156684,High
Eternal,ETERNAL.NS,2021-07-23,2021-07-23,,0.08284771040792249,0.0470744264379534,High
Bharti Hexacom,BHARTIHEXA.NS,2024-04-12,2024-04-12,,0.13696551950607316,0.038666796468214686,High
Suraj Estate Developers,SURAJEST.NS,2024-06-14,2024-06-14,,0.3741956824621009,0.046245305710778895,High
Paytm,PAYTM.NS,2021-11-18,2021-11-18,,-0.08723395909504394,0.062002674525566515,High
Bajaj Housing Finance,BAJAJHFL.NS,2024-09-16,2024-09-16,0.10000000000000009,-0.12148366705009306,0.04768896638550182,High
Awfis Space Solutions,AWFIS.NS,2024-05-30,2024-05-30,-0.044576141773488454,0.14666995270834915,0.04042539071327936,High
Aadhar Housing Finance,AADHARHFC.NS,2024-05-15,2024-05-15,0.09606918416683818,0.19726135208950646,0.03435267853398316,High
Nykaa,NYKAA.NS,2021-11-10,2021-11-10,0.0035134368518143777,-0.0029427979563576567,0.03498784726263869,High
Hyundai Motor India,HYUNDAI.NS,2024-10-22,2024-10-22,0.042454417833562186,0.05507272328130408,0.02406882127600798,Low
Swiggy,SWIGGY.NS,2024-11-13,2024-11-13,-0.05548242937054548,0.11914105460731039,0.03929599376159756,Low
Sagility India,SAGILITY.NS,2024-11-11,2024-11-12,-0.025238700865084063,0.32036229988050713,0.04053217591379209,Low
Niva Bupa Health Insurance,NIVABUPA.NS,2024-11-11,2024-11-14,,0.09995646794899904,0.05965162165605839,Low
Ola Electric Mobility,OLAELEC.NS,2024-08-09,2024-08-09,,0.21181455376430336,0.07576552647311482,Low
Delhivery,DELHIVERY.NS,2022-05-24,2022-05-24,-0.047823183642144995,-0.01697284255577136,0.040983551056295434,Low
EaseMyTrip,EASEMYTRIP.NS,2021-03-19,2021-03-19,,-0.14876155112407907,0.059521525041175964,Low
Carraro India,CARRARO.NS,2024-12-24,2024-12-30,0.0022791362609735355,-0.1992746162420762,0.026378517787839905,Low
Suraksha Diagnostic,SURAKSHA.NS,2024-12-06,2024-12-06,,-0.06884350332994715,0.01486166000883245,Low
Indo Farm Equipment,INDOFARM.NS,2024-12-31,2025-01-07,0.015016936369250056,-0.28030717784187176,0.056640798685221094,Low
CarTrade Tech,CARTRADE.NS,2021-08-20,2021-08-20,,-0.09516887092391613,0.024977629820355424,Low
Sanathan Textiles,SANATHAN.NS,2024-12-27,2024-12-27,,-0.09015341999666338,0.02985378268294972,Low
Nazara Tech,NAZARA.NS,2021-03-30,2021-03-30,-0.07895725576122803,0.11356162518051482,0.052245850372556885,Low
Latent View,LATENTVIEW.NS,2021-11-23,2021-11-23,0.19682866947730182,0.09019553662204904,0.07135212182058315,Low
Le Travenues Technology,IXIGO.NS,2024-06-18,2024-06-18,0.11549601284493183,0.006572725823986603,0.03835086094053084,Low
IRCTC,IRCTC.NS,2019-10-14,2019-10-14,-0.020061798273939058,0.20598692159321041,0.0331976372536121,Low
Fino Payments Bank,FINOPB.NS,2021-10-29,2021-11-12,,-0.1729305341788413,0.06292306875785597,Low
Indiamart Intermesh,INDIAMART.NS,2019-07-04,2019-07-04,0.018126615019813386,0.02790187370573849,0.017292668244550245,Low
Stanley Lifestyles,STANLEY.NS,2024-06-28,2024-06-28,,0.17474224993854537,0.04178324070704321,Low
Akums Drugs,AKUMS.NS,2024-07-31,2024-08-06,-0.0031397174254317317,0.0788566252816153,0.04705669486053886,Low
