company_name,ticker,listing_date,listing_first_date,day1_return,car_30,vol_30,subscription_cat
Hyundai Motor India,HYUNDAI.NS,2024-10-22,2024-10-22,0.042454417833562186,0.05507272328130408,0.02406882127600798,Low
Swiggy,SWIGGY.NS,2024-11-13,2024-11-13,-0.05548242937054548,0.11914105460731039,0.03929599376159756,Low
Sagility India,SAGILITY.NS,2024-11-11,2024-11-12,-0.025238700865084063,0.32036229988050713,0.04053217591379209,Low
Niva Bupa Health Insurance,NIVABUPA.NS,2024-11-11,2024-11-14,,0.09995646794899904,0.05965162165605839,Low
Ola Electric Mobility,OLAELEC.NS,2024-08-09,2024-08-09,,0.21181455376430336,0.07576552647311482,Low
Delhivery,DELHIVERY.NS,2022-05-24,2022-05-24,-0.047823183642144995,-0.01697284255577136,0.040983551056295434,Low
EaseMyTrip,EASEMYTRIP.NS,2021-03-19,2021-03-19,,-0.14876155112407907,0.059521525041175964,Low
Carraro India,CARRARO.NS,2024-12-24,2024-12-30,0.0022791362609735355,-0.1992746162420762,0.026378517787839905,Low
Suraksha Diagnostic,SURAKSHA.NS,2024-12-06,2024-12-06,,-0.06884350332994715,0.01486166000883245,Low
Indo Farm Equipment,INDOFARM.NS,2024-12-31,2025-01-07,0.015016936369250056,-0.28030717784187176,0.056640798685221094,Low
CarTrade Tech,CARTRADE.NS,2021-08-20,2021-08-20,,-0.09516887092391613,0.024977629820355424,Low
Sanathan Textiles,SANATHAN.NS,2024-12-27,2024-12-27,,-0.09015341999666338,0.02985378268294972,Low
Nazara Tech,NAZARA.NS,2021-03-30,2021-03-30,-0.07895725576122803,0.11356162518051482,0.052245850372556885,Low
Latent View,LATENTVIEW.NS,2021-11-23,2021-11-23,0.19682866947730182,0.09019553662204904,0.07135212182058315,Low
Le Travenues Technology,IXIGO.NS,2024-06-18,2024-06-18,0.11549601284493183,0.006572725823986603,0.03835086094053084,Low
IRCTC,IRCTC.NS,2019-10-14,2019-10-14,-0.020061798273939058,0.20598692159321041,0.0331976372536121,Low
Fino Payments Bank,FINOPB.NS,2021-10-29,2021-11-12,,-0.1729305341788413,0.06292306875785597,Low
Indiamart Intermesh,INDIAMART.NS,2019-07-04,2019-07-04,0.018126615019813386,0.02790187370573849,0.017292668244550245,Low
Stanley Lifestyles,STANLEY.NS,2024-06-28,2024-06-28,,0.17474224993854537,0.04178324070704321,Low
Akums Drugs,AKUMS.NS,2024-07-31,2024-08-06,-0.0031397174254317317,0.0788566252816153,0.04705669486053886,Low
